公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
广州瀚信通信科技股份有限公司,广州瀚信,500-2000人,B轮,福田区,数据分析师（深圳）,1-3年,本科,9k-12k,"双休,数据分析,数据挖掘,五险一金"
深圳市言信文化传媒有限公司,言信文化,15-50人,不需要融资,福田区,数据分析,不限,大专,4k-6k,"晋升空间大,五险一金,五天七小时,国内外游"
深圳派鲜科技有限公司,派鲜,150-500人,B轮,南山区,数据分析,1-3年,本科,9k-13k,"优秀团队,五险一金,免费班车,周末双休"
万科物业发展有限公司,万科物业,2000人以上,不需要融资,福田区,高级数据分析师,3-5年,本科,15k-25k,"弹性工作,团队好"
维沃移动通信有限公司,vivo,2000人以上,未融资,福田区,资深大数据分析师,5-10年,本科,15k-25k,"团队有激情,工作有挑战,付出有回报,能留住人才"
深圳市招银前海金融资产交易中心有限公司,招银前海金融,50-150人,不需要融资,南山区,大数据分析师（数据仓库方向）,3-5年,本科,15k-30k,"餐费补助,交通补助,通讯补贴,招商系"
深圳前海联易融金融服务有限公司,联易融linklogis,150-500人,B轮,南山区,数据分析实习（可转正）,应届毕业生,硕士,3k-4k,"学习机会多,成长空间大,福利多多"
深圳依时货拉拉科技有限公司,货拉拉手机打车软件,500-2000人,C轮,福田区,数据分析组长J10846,5-10年,本科,15k-30k,"数据,互联网"
优车库网络科技发展（深圳）有限公司,优车库,50-150人,A轮,福田区,数据分析师,1-3年,本科,12k-18k,"专业交流,职位前景好,晋升空间大,领导好"
沃尔玛（中国）投资有限公司,Walmart China,2000人以上,上市公司,福田区,市场数据分析师,1-3年,本科,8k-9k,"发展平台大,数据分析,五百强企业,工作环境好"
深圳市中安信业创业投资有限公司,中安信业,2000人以上,不需要融资,福田区,数据分析师（产品部）,3-5年,本科,10k-15k,"公司平台大,福利待遇好,发展空间广,部门氛围好"
海丰县文和种养专业合作社,文和农业,15-50人,未融资,南山区,高级数据分析师,3-5年,硕士,25k-50k,"背景好,前景好,专家上司"
