公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,工作年限,经验,salary,月工资
上海海万信息科技股份有限公司,江苏亿科达,500-2000人,不需要融资,福田区,Python后台开发,3-5年,本科,10k-20k,"交通便利,大平台","['3', '5']",4.0,"['10', '20']",12.5
深圳墨子谷科技有限公司,墨子谷,少于15人,天使轮,南山区,Python开发工程师,3-5年,本科,15k-30k,"前腾讯团队,资金充足,全栈开发,设计框架","['3', '5']",4.0,"['15', '30']",18.75
深圳市微商时代科技有限公司,微商时代科技集团,500-2000人,C轮,南山区,高级python开发工程师,3-5年,本科,25k-35k,"年终奖,氛围好,平台大","['3', '5']",4.0,"['25', '35']",27.5
深圳市无极云区块链互联网技术开发有限公司,无极云区块链,50-150人,不需要融资,南山区,Python量化开发工程师,3-5年,本科,10k-15k,"五险一金,绩效奖金,弹性工作,年底双薪","['3', '5']",4.0,"['10', '15']",11.25
深圳市火乐科技发展有限公司,火乐科技,150-500人,D轮及以上,南山区,python开发工程师,1-3年,大专,8k-13k,"五险一金,弹性工作,加班餐补,下午茶","['1', '3']",2.0,"['8', '13']",9.25
深圳市乐友网络科技有限公司,乐友游戏,15-50人,不需要融资,南山区,python开发,1-3年,大专,15k-20k,"团队大牛多,公司福利好,每周下午茶,待遇特丰厚","['1', '3']",2.0,"['15', '20']",16.25
翼果（深圳）科技有限公司,翼果科技,15-50人,天使轮,南山区,Python资深后台工程师(科技园),3-5年,本科,25k-50k,"技术挑战大,成就感高,数据量大","['3', '5']",4.0,"['25', '50']",31.25
深圳码隆科技有限公司,码隆科技,50-150人,B轮,盐田区,python开发工程师(深圳),1-3年,本科,20k-40k,发展前景广阔,"['1', '3']",2.0,"['20', '40']",25.0
深圳开黑科技有限公司,暴鸡电竞,50-150人,A轮,南山区,python后台开发工程师,应届毕业生,本科,3k-5k,"风口项目,技术大牛多",[],0.0,"['3', '5']",3.5
深圳市揽智品牌营销策划有限公司,美会说-深圳分公司,15-50人,天使轮,福田区,Python,不限,不限,10K-16K,年底双薪 弹性工作 萌妹纸多 高速成长,[],0.0,"['10', '16']",11.5
皓量科技（深圳）有限公司,AdBright,15-50人,天使轮,南山区,高级Python开发工程师,5-10年,本科,20k-30k,"五险一金,周末双休,带薪年假,公司前景好","['5', '10']",7.5,"['20', '30']",22.5
深圳云之家网络有限公司,云之家,150-500人,A轮,南山区,Python开发工程师,1-3年,本科,10k-20k,"发展空间大,扁平化管理,精英团队,领导超好","['1', '3']",2.0,"['10', '20']",12.5
浪潮通用软件有限公司深圳研发中心,浪潮企业云深圳研发中心,2000人以上,上市公司,南山区,python开发工程师,1-3年,本科,11k-18k,"成长机会,高手如云,环境好,氛围轻松","['1', '3']",2.0,"['11', '18']",12.75
深圳云天励飞技术有限公司,云天励飞,150-500人,A轮,福田区,Python后端工程师A,1-3年,本科,15k-30k,"五险一金,免费零食,人工智能,大牛多","['1', '3']",2.0,"['15', '30']",18.75
深圳市知物畅想科技有限公司,Mecha,少于15人,天使轮,南山区,Python 开发工程师,1-3年,本科,13k-18k,"五险一金,弹性工作,发展前景","['1', '3']",2.0,"['13', '18']",14.25
深圳市狮子座信息技术有限公司,狮子座,150-500人,未融资,南山区,Python开发工程师,3-5年,本科,15k-20k,"福利好,双休,妹纸多,高薪","['3', '5']",4.0,"['15', '20']",16.25
深圳狗尾草智能科技有限公司,狗尾草智能科技,150-500人,A轮,南山区,高级Python开发工程师,3-5年,本科,15k-30k,"待遇超级好,福利超级多,公司发展快,人傻钱还多","['3', '5']",4.0,"['15', '30']",18.75
深圳市博众信息技术有限公司,博众信息,500-2000人,不需要融资,福田区,Python 资深工程师,3-5年,大专,15k-30k,"团队牛,技术风格,发展空间好","['3', '5']",4.0,"['15', '30']",18.75
